Identificador URL,Nome (Português),Categorias,Preço,Preço promocional,Estoque,SKU,Descrição (Português),Marca,Nome da variação 1,Valor da variação 1,image_urls,status
camisa-psg-26-27-jogador-manga-longa--preto-11vod,Camisa PSG 26/27- Jogador Manga Longa  - Preto,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--preto-11vod-1531117068,<p>Camisa PSG 26/27- Jogador Manga Longa  - Preto</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--preto-11vod,Camisa PSG 26/27- Jogador Manga Longa  - Preto,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--preto-11vod-1531117070,<p>Camisa PSG 26/27- Jogador Manga Longa  - Preto</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--preto-11vod,Camisa PSG 26/27- Jogador Manga Longa  - Preto,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--preto-11vod-1531117072,<p>Camisa PSG 26/27- Jogador Manga Longa  - Preto</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--preto-11vod,Camisa PSG 26/27- Jogador Manga Longa  - Preto,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--preto-11vod-1531117074,<p>Camisa PSG 26/27- Jogador Manga Longa  - Preto</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4,Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4-1528039433,<p>Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/629cc10c-fa2eec85af954d6bbe17792866829935-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/65e96ae6-4e9a3f45744a1ecc9417792866827716-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/b1bec6b4-48032cf06ac777c53c17792866829367-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/6cdbd14e-9845d356874ee735c217792866827525-1024-1024.webp,draft
camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4,Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4-1528039441,<p>Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/629cc10c-fa2eec85af954d6bbe17792866829935-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/65e96ae6-4e9a3f45744a1ecc9417792866827716-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/b1bec6b4-48032cf06ac777c53c17792866829367-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/6cdbd14e-9845d356874ee735c217792866827525-1024-1024.webp,draft
camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4,Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4-1528039448,<p>Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/629cc10c-fa2eec85af954d6bbe17792866829935-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/65e96ae6-4e9a3f45744a1ecc9417792866827716-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/b1bec6b4-48032cf06ac777c53c17792866829367-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/6cdbd14e-9845d356874ee735c217792866827525-1024-1024.webp,draft
camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4,Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-manchester-united-26-27-jogador-manga-longa-adidas-vermelho-fndm4-1528039456,<p>Camisa Manchester United 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/629cc10c-fa2eec85af954d6bbe17792866829935-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/65e96ae6-4e9a3f45744a1ecc9417792866827716-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/b1bec6b4-48032cf06ac777c53c17792866829367-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/6cdbd14e-9845d356874ee735c217792866827525-1024-1024.webp,draft
camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo,Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo-1528040454,<p>Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/94b44b24-16fee444e8bd3cca4b17792867565039-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/22a7ba22-7d81d5c61d0c9bddf417792867561466-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8eb7419b-627e3847790e97430117792867564805-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/462dba8e-b1272e26d08f81951a17792867563263-1024-1024.webp,draft
camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo,Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo-1528040456,<p>Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/94b44b24-16fee444e8bd3cca4b17792867565039-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/22a7ba22-7d81d5c61d0c9bddf417792867561466-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8eb7419b-627e3847790e97430117792867564805-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/462dba8e-b1272e26d08f81951a17792867563263-1024-1024.webp,draft
camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo,Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo-1528040458,<p>Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/94b44b24-16fee444e8bd3cca4b17792867565039-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/22a7ba22-7d81d5c61d0c9bddf417792867561466-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8eb7419b-627e3847790e97430117792867564805-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/462dba8e-b1272e26d08f81951a17792867563263-1024-1024.webp,draft
camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo,Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho,Coleção De Inverno,599.90,219.90,10,camisa-bayern-de-munique-26-27-jogador-manga-longa-adidas-vermelho-1owjo-1528040460,<p>Camisa Bayern de Munique 26/27 - Jogador Manga Longa Adidas - Vermelho</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/94b44b24-16fee444e8bd3cca4b17792867565039-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/22a7ba22-7d81d5c61d0c9bddf417792867561466-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8eb7419b-627e3847790e97430117792867564805-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/462dba8e-b1272e26d08f81951a17792867563263-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--azul-alu26,Camisa PSG 26/27 - Jogador Manga Longa  - Azul,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--azul-alu26-1531117068,<p>Camisa PSG 26/27 - Jogador Manga Longa  - Azul</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--azul-alu26,Camisa PSG 26/27 - Jogador Manga Longa  - Azul,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--azul-alu26-1531117070,<p>Camisa PSG 26/27 - Jogador Manga Longa  - Azul</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--azul-alu26,Camisa PSG 26/27 - Jogador Manga Longa  - Azul,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--azul-alu26-1531117072,<p>Camisa PSG 26/27 - Jogador Manga Longa  - Azul</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-jogador-manga-longa--azul-alu26,Camisa PSG 26/27 - Jogador Manga Longa  - Azul,Coleção De Inverno,599.90,219.90,10,camisa-psg-26-27-jogador-manga-longa--azul-alu26-1531117074,<p>Camisa PSG 26/27 - Jogador Manga Longa  - Azul</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/a9ca5f37-4f018d17115b90bc5d17797360235029-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/8f2c9134-95069f1ec3e9fc4c3317797360234849-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/52c207d0-5bad7530fa4e65f66517797360236421-1024-1024.webp,draft
camisa-psg-26-27-feminina-adidas-azul-l3pd4,Camisa Psg 26/27 - Feminina  - Azul,Camisas,349.90,159.90,10,camisa-psg-26-27-feminina-adidas-azul-l3pd4-1534950540,<p>Camisa Psg 26/27 - Feminina  - Azul</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5164-d6d8fe43db1428729017802534133386-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5163-0f73b78f093b874c9817802534127610-1024-1024.webp,draft
camisa-psg-26-27-feminina-adidas-azul-l3pd4,Camisa Psg 26/27 - Feminina  - Azul,Camisas,349.90,159.90,10,camisa-psg-26-27-feminina-adidas-azul-l3pd4-1534950542,<p>Camisa Psg 26/27 - Feminina  - Azul</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5164-d6d8fe43db1428729017802534133386-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5163-0f73b78f093b874c9817802534127610-1024-1024.webp,draft
camisa-psg-26-27-feminina-adidas-azul-l3pd4,Camisa Psg 26/27 - Feminina  - Azul,Camisas,349.90,159.90,10,camisa-psg-26-27-feminina-adidas-azul-l3pd4-1534950546,<p>Camisa Psg 26/27 - Feminina  - Azul</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5164-d6d8fe43db1428729017802534133386-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5163-0f73b78f093b874c9817802534127610-1024-1024.webp,draft
camisa-psg-26-27-feminina-adidas-azul-l3pd4,Camisa Psg 26/27 - Feminina  - Azul,Camisas,349.90,159.90,10,camisa-psg-26-27-feminina-adidas-azul-l3pd4-1534950553,<p>Camisa Psg 26/27 - Feminina  - Azul</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5164-d6d8fe43db1428729017802534133386-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/img_5163-0f73b78f093b874c9817802534127610-1024-1024.webp,draft
camisa-celtic-manga-longa-26-27-preto-zgi3n,Camisa Celtic Manga Longa 26/27 - Preto,Coleção De Inverno,449.90,189.90,10,camisa-celtic-manga-longa-26-27-preto-zgi3n-1485218056,<p>Camisa Celtic Manga Longa 26/27 - Preto</p>,,Tamanho,P,https://acdn-us.mitiendanube.com/stores/001/402/723/products/c7c67888-dbf2d3c2bed2a0219d17744708322253-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/27390c8b-865e98cef02402e8f517744708318420-1024-1024.webp,draft
camisa-celtic-manga-longa-26-27-preto-zgi3n,Camisa Celtic Manga Longa 26/27 - Preto,Coleção De Inverno,449.90,189.90,10,camisa-celtic-manga-longa-26-27-preto-zgi3n-1485218057,<p>Camisa Celtic Manga Longa 26/27 - Preto</p>,,Tamanho,M,https://acdn-us.mitiendanube.com/stores/001/402/723/products/c7c67888-dbf2d3c2bed2a0219d17744708322253-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/27390c8b-865e98cef02402e8f517744708318420-1024-1024.webp,draft
camisa-celtic-manga-longa-26-27-preto-zgi3n,Camisa Celtic Manga Longa 26/27 - Preto,Coleção De Inverno,449.90,189.90,10,camisa-celtic-manga-longa-26-27-preto-zgi3n-1485218059,<p>Camisa Celtic Manga Longa 26/27 - Preto</p>,,Tamanho,G,https://acdn-us.mitiendanube.com/stores/001/402/723/products/c7c67888-dbf2d3c2bed2a0219d17744708322253-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/27390c8b-865e98cef02402e8f517744708318420-1024-1024.webp,draft
camisa-celtic-manga-longa-26-27-preto-zgi3n,Camisa Celtic Manga Longa 26/27 - Preto,Coleção De Inverno,449.90,189.90,10,camisa-celtic-manga-longa-26-27-preto-zgi3n-1485218061,<p>Camisa Celtic Manga Longa 26/27 - Preto</p>,,Tamanho,GG,https://acdn-us.mitiendanube.com/stores/001/402/723/products/c7c67888-dbf2d3c2bed2a0219d17744708322253-1024-1024.webp|https://acdn-us.mitiendanube.com/stores/001/402/723/products/27390c8b-865e98cef02402e8f517744708318420-1024-1024.webp,draft
